beat,start,end,duration,frames,words,wps,transition,label,visual,audio
17,54.34,57.72,3.38,203,13,3.85,cut,EATING YOU BACK,A pineapple with a wide mouth chewing on a tiny running person,audio/beat17.mp3
18,57.72,60.84,3.12,187,12,3.85,switching,PROTEASES,A row of little enzyme characters standing in a family photo line,audio/beat18.mp3
19,60.84,64.2,3.36,202,13,3.87,cut,CUTTING PROTEIN,Scissor-shaped enzymes snipping a long chain of coloured protein beads,audio/beat19.mp3
20,64.2,67.54,3.34,200,13,3.89,cut,THE CORE,A pineapple cross-section with the tough core glowing bright yellow,audio/beat20.mp3
21,67.54,70.88,3.34,200,13,3.89,cut,THROWN AWAY,A hand dropping a pineapple core into a trash can,audio/beat21.mp3
22,70.88,74.48,3.6,216,14,3.89,revealing,THE JELL-O PROBLEM,A kitchen counter with a wobbly bowl of unset jelly and a spoon,audio/beat22.mp3
23,74.48,78.34,3.86,232,15,3.89,cut,IT NEVER SETS,"A bowl of liquid jelly with pineapple chunks, an hourglass beside it",audio/beat23.mp3
24,78.34,81.68,3.34,200,13,3.89,cut,COLLAGEN,"A wobbling gelatin cube labelled collagen, an enzyme taking a bite",audio/beat24.mp3
25,81.68,85.02,3.34,200,13,3.89,cut,CHEWED THROUGH,Enzymes chewing through a jelly cube that keeps collapsing into liquid,audio/beat25.mp3
26,85.02,88.11,3.09,185,12,3.88,switching,CANNED WORKS,A can of pineapple rings beside a perfectly set firm jelly bowl,audio/beat26.mp3
27,88.11,91.2,3.09,185,12,3.88,cut,HEAT DESTROYS IT,A pineapple can in a factory with heat waves and a thermometer at sixty,audio/beat27.mp3
28,91.2,94.29,3.09,185,12,3.88,cut,HEAT KILLS IT,A grilled pineapple slice with a dead flat enzyme shape beside it,audio/beat28.mp3
29,94.29,98.4,4.11,247,16,3.89,cut,GONE,Pineapple on a grill with the enzyme vanishing upward in steam,audio/beat29.mp3
30,98.4,102.26,3.86,232,15,3.89,revealing,IT GOES DEEPER,An enzyme walking past a mouth signpost heading down a tunnel,audio/beat30.mp3
31,102.26,105.86,3.6,216,14,3.89,cut,SURVIVES THE STOMACH,"An enzyme swimming through a bubbling acid pool, unharmed and smiling",audio/beat31.mp3
32,105.86,109.2,3.34,200,13,3.89,cut,INTO THE BLOOD,An enzyme passing through an intestine wall into a red bloodstream river,audio/beat32.mp3
33,109.2,112.29,3.09,185,12,3.88,cut,THREE THINGS,"A clipboard with three numbered boxes, the enzyme standing beside it",audio/beat33.mp3
34,112.29,115.38,3.09,185,12,3.88,cut,FIBRIN,A net of fibrin around a wound being snipped apart by enzymes,audio/beat34.mp3
35,115.38,118.47,3.09,185,12,3.88,cut,PAIN SIGNALS,Pain signal molecules blocked by stop signs held up by enzymes,audio/beat35.mp3
36,118.47,121.81,3.34,200,13,3.89,cut,THINS MUCUS,Thick gloopy mucus turning thin and watery with a happy sinus diagram,audio/beat36.mp3
37,121.81,124.9,3.09,185,12,3.88,cut,GERMAN SURGEONS,A surgeon in scrubs handing a bromelain capsule to a bandaged patient,audio/beat37.mp3
38,124.9,127.99,3.09,185,12,3.88,cut,SINUS TREATMENT,A map of Europe with a calm sinus diagram glowing over it,audio/beat38.mp3
39,127.99,131.08,3.09,185,12,3.88,cut,JOINT PAIN,A knee joint diagram with pain stars fading away one by one,audio/beat39.mp3
40,131.08,134.17,3.09,185,12,3.88,switching,IN HUMANS,"A petri dish and a mouse both crossed out, a human figure highlighted",audio/beat40.mp3
41,134.17,137.77,3.6,216,14,3.89,revealing,SHOCKED RESEARCHERS,"A researcher with wide eyes, clipboard shaking, magnifying glass on enzyme",audio/beat41.mp3
42,137.77,140.86,3.09,185,12,3.88,cut,BLUNT TOOL,A giant hammer squashing a whole army of immune cells flat,audio/beat42.mp3
43,140.86,144.2,3.34,200,13,3.89,switching,SMARTER,"An enzyme holding a fine laser scalpel, precision glowing at the tip",audio/beat43.mp3
44,144.2,147.29,3.09,185,12,3.88,cut,SELECTIVE,Only the red swelling signal being snipped while green signals float past,audio/beat44.mp3
45,147.29,150.38,3.09,185,12,3.88,cut,LEFT ALONE,"Healthy immune cells standing in formation, untouched and saluting",audio/beat45.mp3
46,150.38,153.72,3.34,200,13,3.89,cut,NO DRUG DOES THIS,A medicine bottle shrugging beside a fresh pineapple with a trophy,audio/beat46.mp3
47,153.72,156.81,3.09,185,12,3.88,revealing,THREE STEPS,A bold title card with three steps written in hand-drawn capitals,audio/beat47.mp3
48,156.81,159.9,3.09,185,12,3.88,cut,STEP ONE: FRESH,A fresh pineapple with a tick beside a can with a cross,audio/beat48.mp3
49,159.9,162.99,3.09,185,12,3.88,cut,STEP TWO: NEVER COOK,A thermometer at sixty degrees with a flame and a dead enzyme,audio/beat49.mp3
50,162.99,166.59,3.6,216,14,3.89,cut,STEP THREE: EAT THE CORE,A pineapple core glowing with a concentration bar chart at maximum,audio/beat50.mp3
51,166.59,169.93,3.34,200,13,3.89,cut,NOBODY SAYS IT,A tall stack of research papers with a tiny megaphone beside them,audio/beat51.mp3
52,169.93,174.04,4.11,247,16,3.89,cut,THE MISSION,A bridge being built between a laboratory and a home kitchen counter,audio/beat52.mp3
53,174.04,177.38,3.34,200,13,3.89,cut,YOU CHANGED,"A person transformed, glowing brain, looking thoughtfully at a pineapple",audio/beat53.mp3
54,177.38,180.47,3.09,185,12,3.88,cut,YOU UNDERSTAND,A brain with a bromelain label connecting dots to a tingling tongue,audio/beat54.mp3
55,180.47,183.81,3.34,200,13,3.89,cut,YOU KNOW WHY,"A dead flat enzyme in a can beside a flame, both labelled dead",audio/beat55.mp3
56,183.81,186.9,3.09,185,12,3.88,cut,EVERY DECISION,A supermarket produce aisle with a glowing arrow to the fresh pineapples,audio/beat56.mp3
57,186.9,190.5,3.6,216,14,3.89,revealing,TELL ME,A speech bubble comment box with a tingling tongue emoji inside,audio/beat57.mp3
58,190.5,193.84,3.34,200,13,3.89,cut,I READ THEM,"A stack of comment cards, one with a reply badge, a pen ready",audio/beat58.mp3
59,193.84,197.95,4.11,247,16,3.89,cut,NEXT: GINGER,"A ginger root with a spotlight, a stomach diagram waiting beside it",audio/beat59.mp3
60,197.95,201.55,3.6,216,14,3.89,cut,YOUR STOMACH,"Immune system and cells crossed out, stomach circled with a warning star",audio/beat60.mp3
